旋涂速度,组分,退火温度,_source_doc
未说明,FA0.9Cs0.07MA0.03Pb(I0.92Br0.08)3,150°C,nature_articles_s41467-019-10985-5
,"Gual (5 mg ml⁻¹), IAl (7 mg ml⁻¹), EAl (3 mg ml⁻¹)",,nature_articles_s41467-019-10985-5
,α-FAPbI₃ substitutionally doped with 10 mol% EAI (FA₀.₉EA₀.₁PbI₃),,nature_articles_s41467-019-10985-5
,EAI (3 mg ml^-1),,nature_articles_s41467-019-10985-5
,IAI (7 mg ml^-1),,nature_articles_s41467-019-10985-5
,Gual (5 mg ml^-1),,nature_articles_s41467-019-10985-5
6000 rpm,"EAI, IAI, GuaI",70 °C,nature_articles_s41467-019-10985-5
,EAI (3 mg ml⁻¹),,nature_articles_s41467-019-10985-5
,IAI (7 mg ml⁻¹),,nature_articles_s41467-019-10985-5
,Gual (5 mg ml⁻¹),,nature_articles_s41467-019-10985-5
