溶剂,Hot-Casting温度,文献位置,_source_doc,Hot-Casting时间,备注,复合溶剂比例
DMF/DMSO,"25 °C, 70 °C",Page 7 of 22,s40820-020-00494-2,1-48 h,待补充的工艺参数,"3:1, 1:3"
DMF,未说明,Page 8 of 22,s40820-020-00494-2,未说明,待补充的工艺参数,未说明比例
GBL and DMF co-solvents,未说明,Page 8 of 22,s40820-020-00494-2,未说明,待补充的工艺参数,未说明比例
DMSO,未说明,Page 8 of 22,s40820-020-00494-2,未说明,待补充的工艺参数,未说明比例
methylamine (MA) gas,未说明,Page 8 of 22,s40820-020-00494-2,未说明,待补充的工艺参数,未说明比例
methylammonium acetate (MAAc),100 °C,Page 8 of 22,s40820-020-00494-2,未说明,待补充的工艺参数,未说明比例
未说明,80 °C,Page 9 of 22,s40820-020-00494-2,2 h,待补充的工艺参数包括溶剂种类和复合溶剂比例,未说明
DMF:DMSO,未说明,Page 10 of 22,s40820-020-00494-2,未说明,待补充的工艺参数,未说明比例
DMF,,Page 11 of 22,s40820-020-00494-2,,待补充的工艺参数,
3:1 DMF: DMSO mixed solvent,,Page 11 of 22,s40820-020-00494-2,,待补充的工艺参数,3:1
未提及,120 °C,Page 12 of 22,s40820-020-00494-2,未提及,待补充的工艺参数包括溶剂和Hot-Casting时间,未提及
未提及,未提及,Page 15 of 22,s40820-020-00494-2,未提及,文献中未提供具体的溶剂、复合溶剂比例、Hot-Casting温度和时间,未提及
DMSO:GBL,25 °C,Page 16 of 22,s40820-020-00494-2,未说明,DMSO:GBL-blade-25 °C film,未说明比例
DMSO:GBL,150 °C,Page 16 of 22,s40820-020-00494-2,未说明,DMSO:GBL-blade-150 °C film,未说明比例
MAPbI3-xClx powder solution,120 °C,Page 17 of 22,s40820-020-00494-2,,待补充的工艺参数,
