epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.51991,0.95538,6.06704,0.0079,0.01083,0.9375,0.16179,0.12718,0.58717,4.61299,0.00774,0.00036674,0.00036674,0.00036674
2,15.9998,0.86074,5.26749,0.00715,0.00824,0.9375,0.35831,0.27984,0.63607,4.59904,0.00864,0.000742724,0.000742724,0.000742724
3,23.3936,0.95763,5.56296,0.00853,0.00779,0.9375,0.51212,0.40305,0.71609,4.44333,0.00964,0.00111112,0.00111112,0.00111112
4,30.8905,0.95817,4.85934,0.00848,0.69068,0.625,0.68654,0.58574,0.75504,3.56641,0.00927,0.00147192,0.00147192,0.00147192
5,38.192,1.0357,4.67089,0.00906,0.6399,0.52083,0.66304,0.57759,0.73757,3.5699,0.00915,0.00160099,0.00160099,0.00160099
6,45.5774,1.05622,4.15196,0.00876,0.4675,0.81123,0.63942,0.49001,0.94022,4.63713,0.01205,0.00158448,0.00158448,0.00158448
7,52.7997,1.02478,4.61156,0.00952,0.31571,0.85417,0.62439,0.48837,0.96351,3.62393,0.01282,0.00156798,0.00156798,0.00156798
8,60.1027,1.01897,4.21418,0.00817,0.77248,0.80663,0.80458,0.62284,0.94753,3.11158,0.01199,0.00155148,0.00155148,0.00155148
9,67.6821,1.08616,3.82023,0.00823,0.80012,0.70891,0.9155,0.74719,0.80488,2.86076,0.00969,0.00153497,0.00153497,0.00153497
10,75.5198,1.07985,3.54102,0.00872,0.81258,0.68667,0.84238,0.65819,0.91814,2.75615,0.01154,0.00151847,0.00151847,0.00151847
11,83.6558,1.0078,3.56142,0.00897,0.69454,0.8125,0.87588,0.68288,0.85182,2.91934,0.00934,0.00150197,0.00150197,0.00150197
12,92.9765,0.92033,2.98344,0.00749,0.70174,0.8125,0.8204,0.64212,0.90619,2.93614,0.01042,0.00148546,0.00148546,0.00148546
13,100.842,1.01476,3.18399,0.00806,0.98556,0.79967,0.93198,0.73706,0.88358,2.43969,0.01054,0.00146896,0.00146896,0.00146896
14,108.29,0.97806,3.17024,0.00834,0.96793,0.79713,0.93219,0.76179,0.83467,2.1239,0.00977,0.00145246,0.00145246,0.00145246
15,115.675,1.02874,2.79451,0.00789,0.90664,0.70054,0.92967,0.68461,0.99479,2.18221,0.01151,0.00143595,0.00143595,0.00143595
16,122.97,0.95823,3.14119,0.00796,0.95348,0.67032,0.89163,0.70761,0.90699,2.11415,0.01067,0.00141945,0.00141945,0.00141945
17,130.533,0.98172,3.02897,0.00871,0.67682,1,0.91476,0.78587,0.74907,1.89474,0.00902,0.00140295,0.00140295,0.00140295
18,137.952,0.89871,2.8106,0.00759,0.72895,0.9375,0.92425,0.75999,0.83069,1.89355,0.00955,0.00138644,0.00138644,0.00138644
19,145.372,0.99374,2.84767,0.00863,0.77423,0.875,0.89667,0.72818,0.87792,2.01699,0.01,0.00136994,0.00136994,0.00136994
20,152.712,0.98656,2.56239,0.00782,0.91677,0.7185,0.89025,0.7646,0.76945,1.89396,0.00902,0.00135344,0.00135344,0.00135344
21,160.103,1.04912,2.52692,0.00845,0.98804,0.71827,0.89466,0.75346,0.84411,1.85292,0.01033,0.00133693,0.00133693,0.00133693
22,167.543,0.9294,2.38971,0.00747,0.86186,0.79454,0.90357,0.76472,0.79312,1.78186,0.01022,0.00132043,0.00132043,0.00132043
23,174.804,0.9401,2.5356,0.00815,1,0.7696,0.91843,0.75631,0.75828,1.74465,0.01021,0.00130393,0.00130393,0.00130393
24,182.297,1.01111,2.13745,0.0078,0.88136,0.79911,0.9196,0.73952,0.84481,1.75567,0.01032,0.00128742,0.00128742,0.00128742
25,189.636,0.92047,2.21564,0.00725,0.83498,0.875,0.92094,0.74078,0.80233,1.71567,0.00986,0.00127092,0.00127092,0.00127092
26,197.045,0.90156,2.30051,0.00768,0.8329,0.879,0.93083,0.79065,0.71075,1.63559,0.00862,0.00125442,0.00125442,0.00125442
27,204.221,0.95501,2.05931,0.00749,0.87162,0.88667,0.95357,0.80956,0.66338,1.59184,0.00797,0.00123791,0.00123791,0.00123791
28,211.38,0.87631,1.99812,0.00697,1,0.68648,0.92879,0.75461,0.76661,1.66522,0.00926,0.00122141,0.00122141,0.00122141
29,218.843,0.90722,1.96264,0.00707,0.83513,0.9375,0.96929,0.81473,0.71614,1.46129,0.00883,0.00120491,0.00120491,0.00120491
30,226.126,0.8548,1.73012,0.00662,0.92384,0.92794,0.97192,0.80892,0.7616,1.38541,0.0094,0.0011884,0.0011884,0.0011884
31,233.435,0.89713,1.84486,0.00739,0.95888,0.9375,0.98833,0.81246,0.81167,1.33239,0.01012,0.0011719,0.0011719,0.0011719
32,240.673,0.83668,1.89499,0.0067,0.88955,0.99071,0.98833,0.84267,0.71284,1.30372,0.00861,0.0011554,0.0011554,0.0011554
33,248.121,0.88184,1.78999,0.00696,0.95425,0.92521,0.983,0.83578,0.72953,1.27971,0.00923,0.00113889,0.00113889,0.00113889
34,255.474,0.9146,1.94436,0.00797,0.88223,0.95491,0.98111,0.8357,0.78297,1.29024,0.00982,0.00112239,0.00112239,0.00112239
35,262.642,0.85651,1.85715,0.00761,0.95743,0.8706,0.96419,0.8095,0.73437,1.29279,0.00905,0.00110589,0.00110589,0.00110589
36,269.862,0.88582,1.70041,0.00726,0.95816,0.875,0.95242,0.76884,0.81808,1.31466,0.0103,0.00108938,0.00108938,0.00108938
37,277.163,0.78874,1.6388,0.00687,0.955,0.875,0.95056,0.80524,0.73705,1.25071,0.00902,0.00107288,0.00107288,0.00107288
38,284.515,0.77077,1.51833,0.00618,0.88873,0.93051,0.94554,0.80681,0.76848,1.16854,0.0095,0.00105638,0.00105638,0.00105638
39,291.722,0.8128,1.4927,0.00618,0.89065,0.93031,0.95489,0.80408,0.82915,1.10387,0.0101,0.00103987,0.00103987,0.00103987
40,299.029,0.81266,1.60159,0.00687,0.93702,0.875,0.96687,0.836,0.72833,1.04809,0.00875,0.00102337,0.00102337,0.00102337
41,306.19,0.7895,1.55305,0.00642,0.92846,0.875,0.94979,0.82386,0.79179,1.07738,0.00937,0.00100687,0.00100687,0.00100687
42,313.445,0.79032,1.55633,0.007,0.80657,0.9375,0.94022,0.71933,1.00974,1.1386,0.01236,0.000990365,0.000990365,0.000990365
43,320.758,0.81437,1.40603,0.00744,0.95498,0.8125,0.93922,0.74705,0.91328,1.06494,0.01106,0.000973861,0.000973861,0.000973861
44,328.094,0.76955,1.32862,0.00607,0.97572,0.8125,0.92643,0.77448,0.80826,1.10063,0.00971,0.000957358,0.000957358,0.000957358
45,335.405,0.83787,1.53585,0.00702,0.98194,0.87427,0.94829,0.78705,0.82648,1.12635,0.01025,0.000940855,0.000940855,0.000940855
46,342.445,0.72497,1.36918,0.00597,0.97946,0.86439,0.97051,0.80697,0.82527,1.02435,0.01005,0.000924352,0.000924352,0.000924352
47,350.192,0.74683,1.42403,0.00633,0.96217,0.92922,0.97864,0.76333,0.92505,0.8703,0.0108,0.000907848,0.000907848,0.000907848
48,357.537,0.76365,1.31247,0.0064,0.94968,0.98532,0.995,0.78349,0.86364,0.8041,0.01015,0.000891345,0.000891345,0.000891345
49,365.097,0.76414,1.27761,0.00658,0.92112,1,0.995,0.82788,0.76,0.74087,0.00891,0.000874842,0.000874842,0.000874842
50,372.937,0.80072,1.31814,0.0067,0.93285,0.98816,0.995,0.82329,0.79933,0.72423,0.0094,0.000858338,0.000858338,0.000858338
51,380.433,0.75668,1.29777,0.00589,0.8926,0.99023,0.995,0.81276,0.82219,0.74493,0.00989,0.000841835,0.000841835,0.000841835
52,388.038,0.74959,1.29567,0.00607,0.96914,0.9375,0.97864,0.83328,0.75502,0.70583,0.00899,0.000825332,0.000825332,0.000825332
53,395.674,0.77771,1.18055,0.00614,0.97249,0.9375,0.975,0.81262,0.75628,0.70736,0.00896,0.000808828,0.000808828,0.000808828
54,403.22,0.77639,1.04976,0.00603,0.95679,0.9375,0.96929,0.76647,0.89337,0.88231,0.01052,0.000792325,0.000792325,0.000792325
55,410.527,0.76591,1.16597,0.0061,0.96458,0.9375,0.98833,0.7864,0.84769,0.82041,0.01002,0.000775822,0.000775822,0.000775822
56,417.741,0.72319,1.10188,0.0062,0.94692,1,0.995,0.82492,0.75714,0.64526,0.00909,0.000759318,0.000759318,0.000759318
57,424.778,0.76931,1.15153,0.00651,0.9581,0.98014,0.995,0.8358,0.7468,0.63131,0.00897,0.000742815,0.000742815,0.000742815
58,432.222,0.75283,1.03583,0.00583,0.94793,1,0.995,0.83394,0.7464,0.57268,0.00905,0.000726312,0.000726312,0.000726312
59,439.253,0.7007,1.02154,0.00559,0.94717,1,0.995,0.83414,0.77154,0.55893,0.00937,0.000709809,0.000709809,0.000709809
60,446.389,0.77104,1.12238,0.00638,0.9463,1,0.995,0.81774,0.79192,0.55552,0.00949,0.000693305,0.000693305,0.000693305
61,453.713,0.73698,1.04427,0.00549,0.94569,1,0.995,0.82405,0.80737,0.57919,0.0096,0.000676802,0.000676802,0.000676802
62,461.021,0.72437,1.03736,0.00586,0.93628,1,0.995,0.81108,0.7795,0.57604,0.00937,0.000660299,0.000660299,0.000660299
63,468.475,0.66467,1.04222,0.00509,0.95054,1,0.995,0.80926,0.83585,0.5973,0.01015,0.000643795,0.000643795,0.000643795
64,475.622,0.70916,1.00886,0.00583,0.96004,0.99902,0.995,0.81357,0.84697,0.58709,0.01029,0.000627292,0.000627292,0.000627292
65,482.893,0.72487,1.04613,0.00596,0.95797,0.9375,0.98833,0.82697,0.79563,0.57376,0.00951,0.000610789,0.000610789,0.000610789
66,490.062,0.70551,0.99475,0.00605,0.94819,0.9375,0.98833,0.82464,0.78754,0.56995,0.00936,0.000594286,0.000594286,0.000594286
67,497.146,0.70593,0.97192,0.0054,0.89812,0.98878,0.98833,0.80241,0.79215,0.56431,0.00924,0.000577782,0.000577782,0.000577782
68,504.526,0.6663,1.00757,0.00555,0.90037,0.99142,0.98833,0.78774,0.87894,0.56284,0.01058,0.000561279,0.000561279,0.000561279
69,511.634,0.73452,0.93713,0.00633,0.888,1,0.98111,0.79216,0.85566,0.5451,0.01037,0.000544776,0.000544776,0.000544776
70,518.889,0.65753,0.87577,0.00496,0.88933,0.98975,0.98111,0.80063,0.76377,0.52273,0.00908,0.000528272,0.000528272,0.000528272
71,525.998,0.68471,0.87182,0.00541,0.95852,0.92964,0.98833,0.82198,0.7654,0.51644,0.00902,0.000511769,0.000511769,0.000511769
72,533.442,0.62368,0.90621,0.00496,0.93936,0.9375,0.98833,0.79334,0.79614,0.53384,0.00938,0.000495266,0.000495266,0.000495266
73,540.803,0.64168,0.92395,0.00518,0.91018,0.9375,0.98833,0.7957,0.77085,0.54067,0.00905,0.000478762,0.000478762,0.000478762
74,548.222,0.68782,0.89984,0.00565,0.90638,0.98767,0.995,0.83034,0.74822,0.5578,0.00872,0.000462259,0.000462259,0.000462259
75,555.344,0.61202,0.91752,0.00505,0.9062,0.99117,0.995,0.83261,0.73045,0.5641,0.00849,0.000445756,0.000445756,0.000445756
76,562.72,0.6548,0.92868,0.00494,0.90649,0.99861,0.995,0.83022,0.72688,0.53771,0.0084,0.000429253,0.000429253,0.000429253
77,570.069,0.62354,0.80192,0.0049,0.90954,0.99368,0.995,0.82201,0.75292,0.52571,0.00894,0.000412749,0.000412749,0.000412749
78,577.252,0.68725,0.79247,0.0052,0.91755,0.98771,0.995,0.83397,0.76113,0.50072,0.00903,0.000396246,0.000396246,0.000396246
79,584.868,0.68916,0.90401,0.00561,0.93459,0.98843,0.995,0.83231,0.75096,0.49053,0.00913,0.000379743,0.000379743,0.000379743
80,591.996,0.63622,0.84605,0.00509,0.94429,0.99252,0.995,0.83025,0.73766,0.48149,0.00899,0.000363239,0.000363239,0.000363239
81,599.308,0.71327,0.83981,0.00571,0.93869,0.98755,0.995,0.82197,0.70205,0.48033,0.00856,0.000346736,0.000346736,0.000346736
82,606.732,0.64465,0.81635,0.00499,0.93252,0.98686,0.995,0.83283,0.7071,0.48238,0.00849,0.000330233,0.000330233,0.000330233
83,614.083,0.64041,0.80848,0.00506,0.92354,0.98608,0.995,0.81775,0.70434,0.49205,0.00844,0.000313729,0.000313729,0.000313729
84,621.486,0.61568,0.81003,0.00488,0.91557,0.9936,0.995,0.80352,0.73079,0.52306,0.00866,0.000297226,0.000297226,0.000297226
85,628.741,0.67932,0.84094,0.0051,0.91095,1,0.995,0.80306,0.75305,0.53873,0.00894,0.000280723,0.000280723,0.000280723
86,636.372,0.5794,0.85208,0.00509,0.90353,1,0.995,0.80581,0.76986,0.53653,0.00912,0.00026422,0.00026422,0.00026422
87,643.687,0.63156,0.8005,0.00468,0.92358,1,0.995,0.8303,0.75488,0.51033,0.00901,0.000247716,0.000247716,0.000247716
88,651.206,0.58503,0.7759,0.00459,0.95049,1,0.995,0.82287,0.76445,0.51973,0.00916,0.000231213,0.000231213,0.000231213
89,658.831,0.63627,0.8145,0.00521,0.95756,1,0.995,0.8067,0.79053,0.47058,0.00937,0.00021471,0.00021471,0.00021471
90,666.454,0.63195,0.80021,0.00516,0.95937,1,0.995,0.82451,0.76344,0.50109,0.00923,0.000198206,0.000198206,0.000198206
91,673.772,0.54258,0.96864,0.00525,0.96819,0.98947,0.995,0.82848,0.72146,0.50938,0.00887,0.000181703,0.000181703,0.000181703
92,680.908,0.53139,0.9481,0.00516,0.96523,0.99221,0.995,0.81238,0.75287,0.48833,0.00905,0.0001652,0.0001652,0.0001652
93,688.181,0.5693,0.99774,0.00528,0.9694,0.92353,0.98833,0.80191,0.79547,0.52721,0.00963,0.000148696,0.000148696,0.000148696
94,695.599,0.53642,0.97248,0.00504,0.96856,0.93215,0.983,0.80578,0.80332,0.54039,0.00971,0.000132193,0.000132193,0.000132193
95,702.995,0.5157,0.91494,0.00511,0.94383,0.9375,0.983,0.79087,0.8246,0.55571,0.01007,0.00011569,0.00011569,0.00011569
96,710.309,0.52294,0.92846,0.00523,0.95004,0.9375,0.97864,0.79574,0.826,0.56379,0.00998,9.91865e-05,9.91865e-05,9.91865e-05
97,717.754,0.55014,0.91526,0.00509,0.89613,0.98785,0.98111,0.80197,0.78274,0.52353,0.00945,8.26832e-05,8.26832e-05,8.26832e-05
98,725.004,0.52212,0.91225,0.00501,0.96456,0.91882,0.983,0.80317,0.78827,0.52991,0.00948,6.61799e-05,6.61799e-05,6.61799e-05
