epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6855,1.36879,4.09133,0.0208,0.01876,0.83182,0.07483,0.03285,0.89493,3.52883,0.02001,0.00041441,0.00041441,0.00041441
2,23.3502,0.97471,3.71815,0.01411,0.02022,0.95,0.27095,0.19141,0.71254,3.45606,0.01507,0.000838937,0.000838937,0.000838937
3,33.4305,0.86259,3.43841,0.01186,0.01954,0.95,0.32456,0.23403,0.66713,3.28659,0.01322,0.00125922,0.00125922,0.00125922
4,43.7595,0.82522,3.19665,0.01099,0.3972,0.27172,0.32063,0.23716,0.79028,2.77563,0.01555,0.00140778,0.00140778,0.00140778
5,54.1661,0.84399,2.91512,0.0107,0.3241,0.50101,0.42463,0.33947,0.7398,2.72246,0.01471,0.00140071,0.00140071,0.00140071
6,64.2727,0.85741,2.67465,0.0114,0.379,0.47828,0.44654,0.36297,0.70699,2.8564,0.01363,0.00139363,0.00139363,0.00139363
7,74.4647,0.85725,2.50939,0.01148,0.42268,0.51636,0.45951,0.36824,0.72812,2.56616,0.01422,0.00138656,0.00138656,0.00138656
8,84.6897,0.88903,2.32717,0.01102,0.30552,0.67071,0.4737,0.37517,0.79413,2.27493,0.01594,0.00137949,0.00137949,0.00137949
9,94.937,0.87288,2.21245,0.01176,0.39754,0.70214,0.55584,0.43848,0.77514,1.95631,0.01562,0.00137241,0.00137241,0.00137241
10,104.911,0.84144,2.11128,0.01112,0.64561,0.72949,0.71719,0.55215,0.72241,1.7333,0.01346,0.00136534,0.00136534,0.00136534
11,115.28,0.8434,1.96265,0.01074,0.61652,0.73681,0.79284,0.64449,0.66917,1.62064,0.01299,0.00135826,0.00135826,0.00135826
12,125.52,0.84616,1.93311,0.01066,0.7662,0.69827,0.77683,0.66226,0.65243,1.53643,0.01258,0.00135119,0.00135119,0.00135119
13,135.769,0.80805,1.77021,0.01082,0.67164,0.71162,0.77838,0.65132,0.73326,1.48382,0.01443,0.00134412,0.00134412,0.00134412
14,145.968,0.8322,1.67059,0.01035,0.69333,0.70438,0.7787,0.65401,0.73027,1.46722,0.01458,0.00133704,0.00133704,0.00133704
15,156.429,0.85148,1.75843,0.01198,0.68397,0.74753,0.80481,0.6678,0.76197,1.41518,0.01587,0.00132997,0.00132997,0.00132997
16,166.918,0.86171,1.60526,0.01114,0.75456,0.71093,0.83239,0.7041,0.68135,1.3729,0.01326,0.0013229,0.0013229,0.0013229
17,177.211,0.84795,1.59045,0.01124,0.70526,0.79495,0.83781,0.69168,0.75775,1.27646,0.01431,0.00131582,0.00131582,0.00131582
18,187.383,0.8397,1.53673,0.01069,0.80691,0.72859,0.87321,0.71467,0.73475,1.17594,0.01356,0.00130875,0.00130875,0.00130875
19,197.662,0.7887,1.48869,0.01016,0.75977,0.86223,0.89283,0.74766,0.72888,1.13365,0.01391,0.00130168,0.00130168,0.00130168
20,207.739,0.7887,1.38574,0.00973,0.82597,0.80242,0.90711,0.78153,0.62067,1.00435,0.01133,0.0012946,0.0012946,0.0012946
21,217.717,0.79461,1.3376,0.00965,0.8661,0.8064,0.90289,0.76196,0.64597,1.07361,0.01187,0.00128753,0.00128753,0.00128753
22,227.991,0.7955,1.31392,0.00986,0.73956,0.91585,0.89642,0.74649,0.66956,1.08606,0.01252,0.00128046,0.00128046,0.00128046
23,238.24,0.79605,1.34632,0.01057,0.74689,0.90532,0.91219,0.78717,0.59608,1.0242,0.01098,0.00127338,0.00127338,0.00127338
24,248.195,0.77896,1.25845,0.01001,0.82533,0.84292,0.92735,0.78715,0.67261,1.00542,0.01273,0.00126631,0.00126631,0.00126631
25,258.199,0.75961,1.21019,0.00933,0.84777,0.88711,0.93318,0.80323,0.63639,0.90308,0.01196,0.00125923,0.00125923,0.00125923
26,268.555,0.74707,1.13616,0.00926,0.9258,0.86576,0.94475,0.80241,0.63235,0.87986,0.01151,0.00125216,0.00125216,0.00125216
27,279.011,0.7376,1.17101,0.00958,0.81998,0.89819,0.92674,0.80447,0.62957,0.92632,0.01217,0.00124509,0.00124509,0.00124509
28,289.459,0.72435,1.10443,0.00925,0.9299,0.76325,0.93417,0.78886,0.68733,0.91064,0.01308,0.00123801,0.00123801,0.00123801
29,299.683,0.75521,1.12378,0.01015,0.86789,0.84408,0.94325,0.83196,0.61443,0.83242,0.01161,0.00123094,0.00123094,0.00123094
30,309.909,0.72329,1.05134,0.00883,0.83566,0.86337,0.94194,0.82245,0.5784,0.80994,0.01086,0.00122387,0.00122387,0.00122387
31,320.123,0.68872,0.965,0.00882,0.86886,0.90837,0.95997,0.82595,0.60372,0.72125,0.01102,0.00121679,0.00121679,0.00121679
32,330.597,0.71232,0.95989,0.00875,0.87191,0.93106,0.96739,0.84266,0.57013,0.69115,0.01089,0.00120972,0.00120972,0.00120972
33,340.687,0.71693,1.04795,0.0093,0.87877,0.8801,0.97301,0.81035,0.63765,0.70098,0.01163,0.00120265,0.00120265,0.00120265
34,350.988,0.71767,0.94376,0.00917,0.94321,0.85638,0.97927,0.85137,0.57237,0.61959,0.01064,0.00119557,0.00119557,0.00119557
35,361.479,0.72644,0.95084,0.00858,0.8639,0.96135,0.97694,0.83662,0.59898,0.6271,0.01098,0.0011885,0.0011885,0.0011885
36,372.061,0.71775,0.91587,0.00862,0.87451,0.95281,0.97523,0.82804,0.62769,0.60949,0.01142,0.00118143,0.00118143,0.00118143
37,382.362,0.75113,0.95939,0.00958,0.91272,0.9606,0.97875,0.83708,0.56923,0.53558,0.01031,0.00117435,0.00117435,0.00117435
38,392.734,0.71498,0.91021,0.00854,0.91513,0.88636,0.97135,0.83872,0.60826,0.56017,0.0113,0.00116728,0.00116728,0.00116728
39,404.287,0.72061,0.90122,0.00886,0.94003,0.94242,0.9872,0.82024,0.66803,0.53839,0.01216,0.00116021,0.00116021,0.00116021
40,414.429,0.69833,0.8816,0.00876,0.89141,0.92776,0.97973,0.83736,0.60998,0.56712,0.01138,0.00115313,0.00115313,0.00115313
41,426.449,0.69174,0.83942,0.00864,0.91587,0.89848,0.97256,0.86234,0.56908,0.55395,0.01098,0.00114606,0.00114606,0.00114606
42,438.066,0.71026,0.84662,0.00865,0.88443,0.9525,0.97233,0.82036,0.59758,0.50568,0.01125,0.00113898,0.00113898,0.00113898
43,449.642,0.67488,0.88086,0.00851,0.85646,0.97657,0.9673,0.83452,0.57828,0.54886,0.01086,0.00113191,0.00113191,0.00113191
44,460.117,0.68824,0.81239,0.00832,0.87511,0.95009,0.97303,0.86353,0.54255,0.52855,0.01029,0.00112484,0.00112484,0.00112484
45,470.295,0.68044,0.77603,0.00827,0.9481,0.92314,0.98556,0.84074,0.62324,0.50121,0.01166,0.00111776,0.00111776,0.00111776
46,480.421,0.71453,0.79439,0.00874,0.92336,0.90909,0.96781,0.81553,0.62065,0.53441,0.01174,0.00111069,0.00111069,0.00111069
47,490.44,0.68937,0.73003,0.00825,0.92648,0.87525,0.97315,0.85868,0.57679,0.51274,0.01103,0.00110362,0.00110362,0.00110362
48,500.207,0.63444,0.68117,0.00763,0.90443,0.93585,0.97056,0.81003,0.61515,0.48749,0.01146,0.00109654,0.00109654,0.00109654
49,510.214,0.69598,0.76739,0.00876,0.90571,0.97437,0.97903,0.86048,0.55695,0.43105,0.01036,0.00108947,0.00108947,0.00108947
50,520.441,0.71735,0.80865,0.00867,0.86661,0.93102,0.95817,0.81878,0.6278,0.48539,0.01172,0.0010824,0.0010824,0.0010824
51,530.585,0.65171,0.69399,0.00841,0.87064,0.94357,0.97713,0.83659,0.61505,0.47274,0.0113,0.00107532,0.00107532,0.00107532
52,540.548,0.69062,0.72396,0.00863,0.84605,0.94047,0.9675,0.8563,0.58404,0.52717,0.01126,0.00106825,0.00106825,0.00106825
53,550.745,0.67009,0.74013,0.00862,0.89725,0.97013,0.98227,0.86257,0.56867,0.44059,0.01022,0.00106118,0.00106118,0.00106118
54,560.803,0.66243,0.70515,0.00802,0.93256,0.94949,0.9777,0.85075,0.55678,0.4695,0.01009,0.0010541,0.0010541,0.0010541
55,570.673,0.69034,0.69724,0.00832,0.87673,0.94517,0.97784,0.83197,0.58863,0.50519,0.01077,0.00104703,0.00104703,0.00104703
56,580.805,0.67462,0.73067,0.00863,0.98546,0.89822,0.9834,0.84556,0.58154,0.45039,0.01092,0.00103995,0.00103995,0.00103995
57,590.781,0.68618,0.69029,0.00883,0.89686,0.96219,0.98381,0.84807,0.5587,0.44121,0.01048,0.00103288,0.00103288,0.00103288
58,600.967,0.66648,0.63913,0.00808,0.93166,0.92636,0.98347,0.85627,0.55497,0.42499,0.01045,0.00102581,0.00102581,0.00102581
59,610.838,0.67135,0.65416,0.00816,0.8618,0.92697,0.96771,0.83163,0.61523,0.46524,0.01178,0.00101873,0.00101873,0.00101873
60,620.962,0.64786,0.64759,0.00801,0.88534,0.95511,0.98033,0.84164,0.61637,0.43311,0.01162,0.00101166,0.00101166,0.00101166
61,630.789,0.66656,0.6229,0.00843,0.94718,0.90342,0.98719,0.86175,0.57824,0.40099,0.01064,0.00100459,0.00100459,0.00100459
62,640.486,0.65126,0.6172,0.00807,0.92004,0.92297,0.98657,0.85924,0.61048,0.40146,0.01116,0.000997513,0.000997513,0.000997513
63,650.439,0.63125,0.5949,0.00774,0.88407,0.94887,0.97508,0.84978,0.57596,0.39372,0.01078,0.00099044,0.00099044,0.00099044
64,660.229,0.67222,0.6633,0.00862,0.94769,0.90859,0.98281,0.85394,0.57906,0.3891,0.01051,0.000983366,0.000983366,0.000983366
65,670.425,0.66433,0.60252,0.00817,0.9746,0.9303,0.98665,0.86455,0.56334,0.36972,0.01033,0.000976293,0.000976293,0.000976293
66,680.461,0.62255,0.55766,0.00733,0.96373,0.85799,0.97415,0.85075,0.58028,0.3949,0.01061,0.000969219,0.000969219,0.000969219
67,690.247,0.63042,0.57788,0.00726,0.90411,0.9303,0.97295,0.84669,0.56749,0.39674,0.01022,0.000962146,0.000962146,0.000962146
68,700.159,0.61037,0.5744,0.00747,0.98397,0.79697,0.95581,0.80704,0.59267,0.41352,0.01074,0.000955072,0.000955072,0.000955072
69,710.251,0.60503,0.54898,0.00751,0.9297,0.88702,0.94354,0.79861,0.60321,0.42673,0.01094,0.000947999,0.000947999,0.000947999
70,720.482,0.62919,0.59893,0.00712,0.92962,0.87282,0.94189,0.81848,0.55937,0.42997,0.01014,0.000940925,0.000940925,0.000940925
71,730.581,0.61719,0.53356,0.00739,0.90316,0.8716,0.94765,0.83294,0.54851,0.4042,0.01026,0.000933851,0.000933851,0.000933851
72,740.613,0.61783,0.54368,0.00801,0.88914,0.95188,0.97394,0.84971,0.56437,0.35698,0.01062,0.000926778,0.000926778,0.000926778
73,750.975,0.64259,0.51222,0.00743,0.8828,0.93257,0.97429,0.85083,0.58579,0.3576,0.01102,0.000919704,0.000919704,0.000919704
74,760.921,0.63161,0.52375,0.00749,0.92385,0.95259,0.98245,0.85789,0.57997,0.32241,0.01053,0.000912631,0.000912631,0.000912631
75,770.829,0.63034,0.55303,0.00721,0.96805,0.89928,0.98072,0.83519,0.62134,0.36336,0.0119,0.000905557,0.000905557,0.000905557
76,780.82,0.62575,0.53225,0.00803,0.94881,0.9845,0.9921,0.84968,0.59093,0.31981,0.01104,0.000898484,0.000898484,0.000898484
77,790.917,0.58597,0.47889,0.0067,0.98285,0.90997,0.98825,0.82579,0.62432,0.31304,0.01126,0.00089141,0.00089141,0.00089141
78,800.888,0.62193,0.52327,0.0072,0.98769,0.93934,0.99199,0.84174,0.62617,0.312,0.01142,0.000884337,0.000884337,0.000884337
79,810.882,0.60427,0.48604,0.00727,0.96207,0.88126,0.98498,0.85073,0.5705,0.34359,0.01058,0.000877263,0.000877263,0.000877263
80,820.844,0.58194,0.47878,0.00713,0.94684,0.93531,0.98402,0.85661,0.57139,0.3263,0.01054,0.00087019,0.00087019,0.00087019
81,831.07,0.60718,0.49013,0.00702,0.94916,0.91002,0.98001,0.85131,0.58639,0.3204,0.01083,0.000863116,0.000863116,0.000863116
82,841.337,0.59081,0.51372,0.00695,0.97151,0.90936,0.98753,0.84922,0.59894,0.31642,0.01089,0.000856042,0.000856042,0.000856042
83,851.808,0.59143,0.49513,0.00687,0.96788,0.96407,0.99307,0.84494,0.59942,0.3033,0.01089,0.000848969,0.000848969,0.000848969
84,862.165,0.58351,0.485,0.00721,0.89263,0.98325,0.98593,0.8683,0.54886,0.29875,0.01007,0.000841895,0.000841895,0.000841895
85,872.329,0.60333,0.50831,0.00745,0.88643,0.99015,0.98858,0.86081,0.55475,0.29309,0.01022,0.000834822,0.000834822,0.000834822
86,882.22,0.5853,0.50029,0.00682,0.98047,0.93046,0.98863,0.86809,0.5485,0.28796,0.0103,0.000827748,0.000827748,0.000827748
87,892.482,0.5542,0.46101,0.00674,0.97805,0.98293,0.99421,0.87434,0.54577,0.25926,0.01031,0.000820675,0.000820675,0.000820675
88,902.862,0.57684,0.51658,0.00749,0.95344,0.9612,0.98948,0.85266,0.57026,0.27131,0.01044,0.000813601,0.000813601,0.000813601
89,913.014,0.56626,0.47322,0.00635,0.95444,0.9632,0.99236,0.85123,0.58868,0.27201,0.01086,0.000806528,0.000806528,0.000806528
90,922.984,0.58817,0.47892,0.00702,0.93713,0.96141,0.98436,0.83909,0.6101,0.30614,0.01112,0.000799454,0.000799454,0.000799454
91,933.014,0.58547,0.47966,0.0072,0.95836,0.93997,0.98959,0.86766,0.55362,0.27613,0.01016,0.00079238,0.00079238,0.00079238
92,943.263,0.56491,0.44592,0.00652,0.96434,0.93005,0.9897,0.82884,0.62723,0.31877,0.01139,0.000785307,0.000785307,0.000785307
93,953.116,0.58026,0.46127,0.00696,0.97826,0.94689,0.99187,0.86277,0.57074,0.28492,0.01057,0.000778233,0.000778233,0.000778233
94,963.232,0.55512,0.43915,0.00625,0.99772,0.93092,0.99094,0.86868,0.5586,0.28851,0.01032,0.00077116,0.00077116,0.00077116
95,973.521,0.55918,0.4735,0.00671,0.99702,0.93704,0.9932,0.85605,0.57398,0.27367,0.01051,0.000764086,0.000764086,0.000764086
96,983.675,0.56699,0.45679,0.00695,0.93747,0.99302,0.99089,0.8654,0.55253,0.26704,0.01016,0.000757013,0.000757013,0.000757013
97,993.975,0.56993,0.42617,0.00657,0.99084,0.95339,0.98992,0.84043,0.56979,0.28657,0.01025,0.000749939,0.000749939,0.000749939
